id,created_at,player,market,line,odds,sportsbook,prop_grade,prop_score,result,profit,opening_odds,closing_odds,clv
1,2026-05-06T22:21:59.568077,quentin grimes,player_points,8.5,102,FanDuel,A,73.7,WIN,1.02,102,102,0
2,2026-05-06T22:21:59.572075,quentin grimes,player_points,8.5,-130,FanDuel,A,73.7,LOSS,-1.0,-130,-130,0
3,2026-05-06T22:21:59.572075,miles mcbride,player_points,7.5,100,FanDuel,B,68.15,WIN,1.0,100,100,0
4,2026-05-06T22:21:59.572075,miles mcbride,player_points,7.5,-128,FanDuel,B,68.15,LOSS,-1.0,-128,-128,0
5,2026-05-06T22:21:59.573074,mikal bridges,player_points,11.5,-113,FanDuel,B,55.4,LOSS,-1.0,-113,-113,0
6,2026-05-06T22:21:59.573074,mikal bridges,player_points,11.5,-113,FanDuel,B,55.4,LOSS,-1.0,-113,-113,0
7,2026-05-06T22:21:59.573074,quentin grimes,player_points,8.5,-104,DraftKings,A,73.7,LOSS,-1.0,-104,-104,0
8,2026-05-06T22:21:59.573074,quentin grimes,player_points,8.5,-122,DraftKings,A,73.7,LOSS,-1.0,-122,-122,0
9,2026-05-06T22:21:59.573074,miles mcbride,player_points,7.5,-108,DraftKings,B,68.15,LOSS,-1.0,-108,-108,0
10,2026-05-06T22:21:59.573074,miles mcbride,player_points,7.5,-118,DraftKings,B,68.15,LOSS,-1.0,-118,-118,0
11,2026-05-06T22:28:14.121721,quentin grimes,player_points,8.5,102,FanDuel,A,73.7,PENDING,0.0,102,102,0
12,2026-05-06T22:28:14.125715,quentin grimes,player_points,8.5,-130,FanDuel,A,73.7,PENDING,0.0,-130,-130,0
13,2026-05-06T22:28:14.125715,miles mcbride,player_points,7.5,100,FanDuel,B,68.15,PENDING,0.0,100,100,0
14,2026-05-06T22:28:14.125715,miles mcbride,player_points,7.5,-128,FanDuel,B,68.15,PENDING,0.0,-128,-128,0
15,2026-05-06T22:28:14.126721,mikal bridges,player_points,11.5,-113,FanDuel,B,55.4,PENDING,0.0,-113,-113,0
16,2026-05-06T22:28:14.126721,mikal bridges,player_points,11.5,-113,FanDuel,B,55.4,PENDING,0.0,-113,-113,0
