matchup,book,market,player,side,line,odds,last_update,team,games,minutes,points,rebounds,assists,steals,blocks,fg_pct,fg3_pct,ft_pct,plus_minus,projection_edge,confidence
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,paul george,Over,3.5,-174,2026-05-06T23:34:17Z,PHI,37.0,30.7,17.3,5.3,3.6,1.7,0.4,0.439,0.392,0.82,2.4,0.10000000000000009,LOW
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,paul george,Under,3.5,132,2026-05-06T23:34:17Z,PHI,37.0,30.7,17.3,5.3,3.6,1.7,0.4,0.439,0.392,0.82,2.4,0.10000000000000009,LOW
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,karl-anthony towns,Over,5.5,110,2026-05-06T23:34:17Z,NYK,75.0,31.0,20.1,11.9,3.0,0.9,0.5,0.501,0.368,0.858,5.0,-2.5,LOW
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,karl-anthony towns,Under,5.5,-146,2026-05-06T23:34:17Z,NYK,75.0,31.0,20.1,11.9,3.0,0.9,0.5,0.501,0.368,0.858,5.0,-2.5,LOW
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,kelly oubre jr,Over,1.5,182,2026-05-06T23:34:17Z,,,,,,,,,,,,,,LOW
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,kelly oubre jr,Under,1.5,-250,2026-05-06T23:34:17Z,,,,,,,,,,,,,,LOW
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,vj edgecombe,Over,3.5,114,2026-05-06T23:34:17Z,PHI,75.0,35.0,16.0,5.6,4.2,1.4,0.5,0.438,0.354,0.818,0.8,0.7000000000000002,LOW
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,vj edgecombe,Under,3.5,-152,2026-05-06T23:34:17Z,PHI,75.0,35.0,16.0,5.6,4.2,1.4,0.5,0.438,0.354,0.818,0.8,0.7000000000000002,LOW
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,quentin grimes,Over,1.5,-144,2026-05-06T23:34:17Z,PHI,75.0,29.4,13.4,3.6,3.3,0.9,0.4,0.45,0.334,0.84,0.1,1.7999999999999998,LOW
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,quentin grimes,Under,1.5,108,2026-05-06T23:34:17Z,PHI,75.0,29.4,13.4,3.6,3.3,0.9,0.4,0.45,0.334,0.84,0.1,1.7999999999999998,LOW
