sport,market,game_id,matchup,line_source,side_a,side_b,line_a,line_b,odds_a,odds_b,timestamp
nba,h2h,d146e10295545e18ac8915a1f5860317,Philadelphia 76ers at New York Knicks,FanDuel,New York Knicks,Philadelphia 76ers,,,-400,285,2026-05-06T23:34:16Z
nba,spreads,d146e10295545e18ac8915a1f5860317,Philadelphia 76ers at New York Knicks,FanDuel,New York Knicks,Philadelphia 76ers,-8.5,8.5,-114,-114,2026-05-06T23:34:16Z
nba,totals,d146e10295545e18ac8915a1f5860317,Philadelphia 76ers at New York Knicks,FanDuel,Over,Under,216.5,216.5,-138,104,2026-05-06T23:34:16Z
nba,h2h,d146e10295545e18ac8915a1f5860317,Philadelphia 76ers at New York Knicks,DraftKings,New York Knicks,Philadelphia 76ers,,,-425,300,2026-05-06T23:33:35Z
nba,spreads,d146e10295545e18ac8915a1f5860317,Philadelphia 76ers at New York Knicks,DraftKings,New York Knicks,Philadelphia 76ers,-9.5,9.5,-110,-120,2026-05-06T23:33:35Z
nba,totals,d146e10295545e18ac8915a1f5860317,Philadelphia 76ers at New York Knicks,DraftKings,Over,Under,215.5,215.5,-115,-115,2026-05-06T23:33:35Z
nba,h2h,d146e10295545e18ac8915a1f5860317,Philadelphia 76ers at New York Knicks,BetMGM,New York Knicks,Philadelphia 76ers,,,-425,290,2026-05-06T23:34:28Z
nba,spreads,d146e10295545e18ac8915a1f5860317,Philadelphia 76ers at New York Knicks,BetMGM,New York Knicks,Philadelphia 76ers,-9.5,9.5,-105,-125,2026-05-06T23:34:28Z
nba,totals,d146e10295545e18ac8915a1f5860317,Philadelphia 76ers at New York Knicks,BetMGM,Over,Under,216.5,216.5,-115,-110,2026-05-06T23:34:28Z
nba,h2h,d146e10295545e18ac8915a1f5860317,Philadelphia 76ers at New York Knicks,MyBookie.ag,New York Knicks,Philadelphia 76ers,,,-333,255,2026-05-06T23:32:43Z
nba,spreads,d146e10295545e18ac8915a1f5860317,Philadelphia 76ers at New York Knicks,MyBookie.ag,New York Knicks,Philadelphia 76ers,-8.5,8.5,-105,-118,2026-05-06T23:32:43Z
nba,totals,d146e10295545e18ac8915a1f5860317,Philadelphia 76ers at New York Knicks,MyBookie.ag,Over,Under,220.5,220.5,-111,-118,2026-05-06T23:32:43Z
nba,h2h,d146e10295545e18ac8915a1f5860317,Philadelphia 76ers at New York Knicks,Bovada,New York Knicks,Philadelphia 76ers,,,-360,255,2026-05-06T23:32:06Z
nba,spreads,d146e10295545e18ac8915a1f5860317,Philadelphia 76ers at New York Knicks,Bovada,New York Knicks,Philadelphia 76ers,-8.5,8.5,-115,-115,2026-05-06T23:32:06Z
nba,totals,d146e10295545e18ac8915a1f5860317,Philadelphia 76ers at New York Knicks,Bovada,Over,Under,218.5,218.5,-115,-115,2026-05-06T23:32:06Z
nba,h2h,d146e10295545e18ac8915a1f5860317,Philadelphia 76ers at New York Knicks,BetRivers,New York Knicks,Philadelphia 76ers,,,-385,275,2026-05-06T23:34:12Z
nba,spreads,d146e10295545e18ac8915a1f5860317,Philadelphia 76ers at New York Knicks,BetRivers,New York Knicks,Philadelphia 76ers,-8.5,8.5,-121,-113,2026-05-06T23:34:12Z
nba,totals,d146e10295545e18ac8915a1f5860317,Philadelphia 76ers at New York Knicks,BetRivers,Over,Under,217.5,217.5,-115,-121,2026-05-06T23:34:12Z
nba,h2h,246001ab42d44857430f7fe63f423461,Minnesota Timberwolves at San Antonio Spurs,DraftKings,Minnesota Timberwolves,San Antonio Spurs,,,320,-410,2026-05-06T23:33:35Z
nba,spreads,246001ab42d44857430f7fe63f423461,Minnesota Timberwolves at San Antonio Spurs,DraftKings,Minnesota Timberwolves,San Antonio Spurs,10.5,-10.5,-118,-102,2026-05-06T23:33:35Z
nba,totals,246001ab42d44857430f7fe63f423461,Minnesota Timberwolves at San Antonio Spurs,DraftKings,Over,Under,217.5,217.5,-112,-108,2026-05-06T23:33:35Z
nba,h2h,246001ab42d44857430f7fe63f423461,Minnesota Timberwolves at San Antonio Spurs,LowVig.ag,Minnesota Timberwolves,San Antonio Spurs,,,336,-415,2026-05-06T23:34:29Z
nba,spreads,246001ab42d44857430f7fe63f423461,Minnesota Timberwolves at San Antonio Spurs,LowVig.ag,Minnesota Timberwolves,San Antonio Spurs,10.0,-10.0,-106,-106,2026-05-06T23:34:29Z
nba,totals,246001ab42d44857430f7fe63f423461,Minnesota Timberwolves at San Antonio Spurs,LowVig.ag,Over,Under,217.5,217.5,-109,-105,2026-05-06T23:34:29Z
nba,h2h,246001ab42d44857430f7fe63f423461,Minnesota Timberwolves at San Antonio Spurs,BetOnline.ag,Minnesota Timberwolves,San Antonio Spurs,,,330,-420,2026-05-06T23:33:53Z
nba,spreads,246001ab42d44857430f7fe63f423461,Minnesota Timberwolves at San Antonio Spurs,BetOnline.ag,Minnesota Timberwolves,San Antonio Spurs,10.0,-10.0,-113,-107,2026-05-06T23:33:53Z
nba,totals,246001ab42d44857430f7fe63f423461,Minnesota Timberwolves at San Antonio Spurs,BetOnline.ag,Over,Under,217.5,217.5,-112,-108,2026-05-06T23:33:53Z
nba,h2h,246001ab42d44857430f7fe63f423461,Minnesota Timberwolves at San Antonio Spurs,FanDuel,Minnesota Timberwolves,San Antonio Spurs,,,330,-420,2026-05-06T23:34:16Z
nba,spreads,246001ab42d44857430f7fe63f423461,Minnesota Timberwolves at San Antonio Spurs,FanDuel,Minnesota Timberwolves,San Antonio Spurs,10.5,-10.5,-120,-102,2026-05-06T23:34:16Z
nba,totals,246001ab42d44857430f7fe63f423461,Minnesota Timberwolves at San Antonio Spurs,FanDuel,Over,Under,217.5,217.5,-112,-108,2026-05-06T23:34:16Z
nba,h2h,246001ab42d44857430f7fe63f423461,Minnesota Timberwolves at San Antonio Spurs,BetRivers,Minnesota Timberwolves,San Antonio Spurs,,,335,-455,2026-05-06T23:34:12Z
nba,spreads,246001ab42d44857430f7fe63f423461,Minnesota Timberwolves at San Antonio Spurs,BetRivers,Minnesota Timberwolves,San Antonio Spurs,10.0,-10.0,-112,-112,2026-05-06T23:34:12Z
nba,totals,246001ab42d44857430f7fe63f423461,Minnesota Timberwolves at San Antonio Spurs,BetRivers,Over,Under,217.5,217.5,-110,-113,2026-05-06T23:34:12Z
nba,h2h,246001ab42d44857430f7fe63f423461,Minnesota Timberwolves at San Antonio Spurs,BetMGM,Minnesota Timberwolves,San Antonio Spurs,,,320,-425,2026-05-06T23:34:28Z
nba,spreads,246001ab42d44857430f7fe63f423461,Minnesota Timberwolves at San Antonio Spurs,BetMGM,Minnesota Timberwolves,San Antonio Spurs,9.5,-9.5,-105,-115,2026-05-06T23:34:28Z
nba,totals,246001ab42d44857430f7fe63f423461,Minnesota Timberwolves at San Antonio Spurs,BetMGM,Over,Under,217.5,217.5,-110,-110,2026-05-06T23:34:28Z
nba,h2h,246001ab42d44857430f7fe63f423461,Minnesota Timberwolves at San Antonio Spurs,MyBookie.ag,Minnesota Timberwolves,San Antonio Spurs,,,308,-417,2026-05-06T23:32:43Z
nba,spreads,246001ab42d44857430f7fe63f423461,Minnesota Timberwolves at San Antonio Spurs,MyBookie.ag,Minnesota Timberwolves,San Antonio Spurs,10.0,-10.0,-110,-110,2026-05-06T23:32:43Z
nba,totals,246001ab42d44857430f7fe63f423461,Minnesota Timberwolves at San Antonio Spurs,MyBookie.ag,Over,Under,217.5,217.5,-110,-110,2026-05-06T23:32:43Z
nba,h2h,246001ab42d44857430f7fe63f423461,Minnesota Timberwolves at San Antonio Spurs,Bovada,Minnesota Timberwolves,San Antonio Spurs,,,320,-430,2026-05-06T23:32:06Z
nba,spreads,246001ab42d44857430f7fe63f423461,Minnesota Timberwolves at San Antonio Spurs,Bovada,Minnesota Timberwolves,San Antonio Spurs,10.5,-10.5,-115,-105,2026-05-06T23:32:06Z
nba,totals,246001ab42d44857430f7fe63f423461,Minnesota Timberwolves at San Antonio Spurs,Bovada,Over,Under,218.0,218.0,-110,-110,2026-05-06T23:32:06Z
nba,h2h,246001ab42d44857430f7fe63f423461,Minnesota Timberwolves at San Antonio Spurs,BetUS,Minnesota Timberwolves,San Antonio Spurs,,,320,-400,2026-05-06T23:33:53Z
nba,spreads,246001ab42d44857430f7fe63f423461,Minnesota Timberwolves at San Antonio Spurs,BetUS,Minnesota Timberwolves,San Antonio Spurs,10.0,-10.0,-110,-110,2026-05-06T23:33:53Z
nba,totals,246001ab42d44857430f7fe63f423461,Minnesota Timberwolves at San Antonio Spurs,BetUS,Over,Under,217.5,217.5,-110,-110,2026-05-06T23:33:53Z
nba,h2h,862af0717b53a01b5e93a188a655d663,Cleveland Cavaliers at Detroit Pistons,FanDuel,Cleveland Cavaliers,Detroit Pistons,,,132,-156,2026-05-06T23:34:16Z
