matchup,book,market,player,side,line,odds,last_update
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,Paul George,Over,3.5,-174,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,Paul George,Under,3.5,132,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,Karl-Anthony Towns,Over,5.5,110,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,Karl-Anthony Towns,Under,5.5,-146,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,Kelly Oubre Jr,Over,1.5,182,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,Kelly Oubre Jr,Under,1.5,-250,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,VJ Edgecombe,Over,3.5,114,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,VJ Edgecombe,Under,3.5,-152,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,Quentin Grimes,Over,1.5,-144,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,Quentin Grimes,Under,1.5,108,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,Josh Hart,Over,5.5,132,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,Josh Hart,Under,5.5,-178,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,OG Anunoby,Over,2.5,128,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,OG Anunoby,Under,2.5,-172,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,Jalen Brunson,Over,6.5,-154,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,Jalen Brunson,Under,6.5,116,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,Mikal Bridges,Over,2.5,130,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,Mikal Bridges,Under,2.5,-174,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,Tyrese Maxey,Over,5.5,-148,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_assists,Tyrese Maxey,Under,5.5,112,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,Justin Edwards,Over,3.5,102,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,Justin Edwards,Under,3.5,-136,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,Jalen Brunson,Over,23.5,-118,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,Jalen Brunson,Under,23.5,-112,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,Andre Drummond,Over,4.5,-106,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,Andre Drummond,Under,4.5,-125,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,Jordan Clarkson,Over,5.5,-114,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,Jordan Clarkson,Under,5.5,-114,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,Paul George,Over,25.5,-102,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,Paul George,Under,25.5,-130,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,Karl-Anthony Towns,Over,22.5,-108,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,Karl-Anthony Towns,Under,22.5,-122,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,VJ Edgecombe,Over,14.5,-114,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,VJ Edgecombe,Under,14.5,-114,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,Kelly Oubre Jr,Over,12.5,-102,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,Kelly Oubre Jr,Under,12.5,-130,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,Adem Bona,Over,2.5,-136,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,Adem Bona,Under,2.5,102,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,Quentin Grimes,Over,9.5,-122,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,Quentin Grimes,Under,9.5,-108,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,Josh Hart,Over,8.5,-132,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,Josh Hart,Under,8.5,100,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,Mikal Bridges,Over,13.5,-125,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,Mikal Bridges,Under,13.5,-106,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,OG Anunoby,Over,20.5,-132,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,OG Anunoby,Under,20.5,100,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,Tyrese Maxey,Over,25.5,-106,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,Tyrese Maxey,Under,25.5,-125,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,Miles McBride,Over,6.5,-130,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_points,Miles McBride,Under,6.5,-102,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_rebounds,Jalen Brunson,Over,2.5,134,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_rebounds,Jalen Brunson,Under,2.5,-180,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_rebounds,Andre Drummond,Over,7.5,106,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_rebounds,Andre Drummond,Under,7.5,-140,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_rebounds,Kelly Oubre Jr,Over,4.5,104,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_rebounds,Kelly Oubre Jr,Under,4.5,-138,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_rebounds,Paul George,Over,5.5,-112,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_rebounds,Paul George,Under,5.5,-118,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_rebounds,Karl-Anthony Towns,Over,9.5,-144,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_rebounds,Karl-Anthony Towns,Under,9.5,108,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_rebounds,Quentin Grimes,Over,2.5,114,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_rebounds,Quentin Grimes,Under,2.5,-152,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_rebounds,Adem Bona,Over,4.5,-125,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_rebounds,Adem Bona,Under,4.5,-106,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_rebounds,VJ Edgecombe,Over,5.5,104,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_rebounds,VJ Edgecombe,Under,5.5,-138,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_rebounds,Josh Hart,Over,8.5,102,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_rebounds,Josh Hart,Under,8.5,-136,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_rebounds,Mikal Bridges,Over,2.5,132,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_rebounds,Mikal Bridges,Under,2.5,-178,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_rebounds,OG Anunoby,Over,5.5,-160,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_rebounds,OG Anunoby,Under,5.5,120,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_threes,Jordan Clarkson,Over,0.5,-102,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_threes,Jordan Clarkson,Under,0.5,-130,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_threes,Kelly Oubre Jr,Over,1.5,164,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_threes,Kelly Oubre Jr,Under,1.5,-225,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_threes,Andre Drummond,Over,0.5,168,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_threes,Andre Drummond,Under,0.5,-230,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_threes,Paul George,Over,5.5,132,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_threes,Paul George,Under,5.5,-178,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_threes,Karl-Anthony Towns,Over,1.5,188,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_threes,Karl-Anthony Towns,Under,1.5,-260,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_threes,Quentin Grimes,Over,0.5,-230,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_threes,Quentin Grimes,Under,0.5,168,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_threes,VJ Edgecombe,Over,1.5,-136,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_threes,VJ Edgecombe,Under,1.5,102,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_threes,Josh Hart,Over,1.5,172,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_threes,Josh Hart,Under,1.5,-235,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_threes,OG Anunoby,Over,2.5,-188,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_threes,OG Anunoby,Under,2.5,140,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_threes,Mikal Bridges,Over,1.5,134,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_threes,Mikal Bridges,Under,1.5,-180,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_threes,Tyrese Maxey,Over,2.5,126,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_threes,Tyrese Maxey,Under,2.5,-168,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_threes,Jalen Brunson,Over,1.5,-210,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_threes,Jalen Brunson,Under,1.5,154,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_threes,Miles McBride,Over,1.5,-125,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,FanDuel,player_threes,Miles McBride,Under,1.5,-106,2026-05-06T23:34:17Z
Philadelphia 76ers at New York Knicks,DraftKings,player_assists,Jalen Brunson,Over,6.5,-154,2026-05-06T23:34:24Z
Philadelphia 76ers at New York Knicks,DraftKings,player_assists,Jalen Brunson,Under,6.5,120,2026-05-06T23:34:24Z
Philadelphia 76ers at New York Knicks,DraftKings,player_assists,Tyrese Maxey,Over,6.5,124,2026-05-06T23:34:24Z
Philadelphia 76ers at New York Knicks,DraftKings,player_assists,Tyrese Maxey,Under,6.5,-160,2026-05-06T23:34:24Z
Philadelphia 76ers at New York Knicks,DraftKings,player_assists,Karl-Anthony Towns,Over,5.5,114,2026-05-06T23:34:24Z
Philadelphia 76ers at New York Knicks,DraftKings,player_assists,Karl-Anthony Towns,Under,5.5,-145,2026-05-06T23:34:24Z
Philadelphia 76ers at New York Knicks,DraftKings,player_assists,Josh Hart,Over,4.5,-154,2026-05-06T23:34:24Z
Philadelphia 76ers at New York Knicks,DraftKings,player_assists,Josh Hart,Under,4.5,120,2026-05-06T23:34:24Z
Philadelphia 76ers at New York Knicks,DraftKings,player_assists,Paul George,Over,4.5,124,2026-05-06T23:34:24Z
Philadelphia 76ers at New York Knicks,DraftKings,player_assists,Paul George,Under,4.5,-160,2026-05-06T23:34:24Z
Philadelphia 76ers at New York Knicks,DraftKings,player_assists,VJ Edgecombe,Over,3.5,124,2026-05-06T23:34:24Z
Philadelphia 76ers at New York Knicks,DraftKings,player_assists,VJ Edgecombe,Under,3.5,-160,2026-05-06T23:34:24Z
Philadelphia 76ers at New York Knicks,DraftKings,player_assists,OG Anunoby,Over,2.5,124,2026-05-06T23:34:24Z
Philadelphia 76ers at New York Knicks,DraftKings,player_assists,OG Anunoby,Under,2.5,-160,2026-05-06T23:34:24Z
Philadelphia 76ers at New York Knicks,DraftKings,player_assists,Mikal Bridges,Over,2.5,145,2026-05-06T23:34:24Z
Philadelphia 76ers at New York Knicks,DraftKings,player_assists,Mikal Bridges,Under,2.5,-188,2026-05-06T23:34:24Z
Philadelphia 76ers at New York Knicks,DraftKings,player_assists,Quentin Grimes,Over,1.5,-160,2026-05-06T23:34:24Z
Philadelphia 76ers at New York Knicks,DraftKings,player_assists,Quentin Grimes,Under,1.5,124,2026-05-06T23:34:24Z
Philadelphia 76ers at New York Knicks,DraftKings,player_assists,Miles McBride,Over,1.5,105,2026-05-06T23:34:24Z
Philadelphia 76ers at New York Knicks,DraftKings,player_assists,Miles McBride,Under,1.5,-135,2026-05-06T23:34:24Z
Philadelphia 76ers at New York Knicks,DraftKings,player_blocks,Mikal Bridges,Over,1.5,135,2026-05-06T23:34:24Z
Philadelphia 76ers at New York Knicks,DraftKings,player_blocks,Mikal Bridges,Under,1.5,-175,2026-05-06T23:34:24Z
