player,market,odds,grade,estimated_win_probability,quarter_kelly_fraction,recommended_bet_size
josh hart,player_points,100,B,0.56,0.03,29.82
tyrese maxey,player_points,-106,B,0.56,0.0234,23.26
tyrese maxey,player_points,-125,B,0.56,0.0025,2.49
miles mcbride,player_points,-130,A,0.6,0.02,19.88
miles mcbride,player_points,-102,A,0.6,0.048,47.71
jalen brunson,player_points,-112,B,0.56,0.0168,16.7
quentin grimes,player_points,-122,B,0.56,0.0058,5.77
quentin grimes,player_points,-108,B,0.56,0.0212,21.07
josh hart,player_points,-132,B,0.56,0.0,0.0
jalen brunson,player_points,-118,B,0.56,0.0102,10.14
mikal bridges,player_points,-104,B,0.56,0.0256,25.45
quentin grimes,player_points,-111,A,0.6,0.039,38.77
quentin grimes,player_points,-115,A,0.6,0.035,34.79
quentin grimes,player_points,-136,A,0.6,0.014,13.92
miles mcbride,player_points,100,B,0.56,0.03,29.82
miles mcbride,player_points,-128,B,0.56,0.0,0.0
mikal bridges,player_points,-113,B,0.56,0.0157,15.61
mikal bridges,player_points,-113,B,0.56,0.0157,15.61
mikal bridges,player_points,-123,B,0.56,0.0047,4.67
quentin grimes,player_points,106,A,0.6,0.0557,55.33
miles mcbride,player_points,-128,B,0.56,0.0,0.0
mikal bridges,player_points,-113,B,0.56,0.0157,15.61
mikal bridges,player_points,-113,B,0.56,0.0157,15.61
mikal bridges,player_points,-129,B,0.56,0.0,0.0
mikal bridges,player_points,101,B,0.56,0.0311,30.9
quentin grimes,player_points,-104,A,0.6,0.046,45.72
quentin grimes,player_points,-122,A,0.6,0.028,27.83
quentin grimes,player_points,-132,A,0.6,0.018,17.89
miles mcbride,player_points,100,B,0.56,0.03,29.82
quentin grimes,player_points,104,A,0.6,0.0538,53.52
mikal bridges,player_points,-113,B,0.56,0.0157,15.61
mikal bridges,player_points,-113,B,0.56,0.0157,15.61
mikal bridges,player_points,-129,B,0.56,0.0,0.0
mikal bridges,player_points,101,B,0.56,0.0311,30.9
quentin grimes,player_points,-104,A,0.6,0.046,45.72
quentin grimes,player_points,-122,A,0.6,0.028,27.83
quentin grimes,player_points,-130,A,0.6,0.02,19.88
miles mcbride,player_points,100,B,0.56,0.03,29.82
miles mcbride,player_points,-128,B,0.56,0.0,0.0
quentin grimes,player_points,102,A,0.6,0.052,51.65
mikal bridges,player_points,-113,B,0.56,0.0157,15.61
mikal bridges,player_points,-113,B,0.56,0.0157,15.61
quentin grimes,player_points,-104,A,0.6,0.046,45.72
quentin grimes,player_points,-122,A,0.6,0.028,27.83
miles mcbride,player_points,-108,B,0.56,0.0212,21.07
miles mcbride,player_points,-118,B,0.56,0.0102,10.14
quentin grimes,player_points,-130,A,0.6,0.02,19.88
miles mcbride,player_points,100,B,0.56,0.03,29.82
miles mcbride,player_points,-128,B,0.56,0.0,0.0
quentin grimes,player_points,102,A,0.6,0.052,51.65
